date,open,high,low,close,volume,marketcap,fng,avg_block_size,difficulty,hash_rate,miner_revenue,unique_active_address,search_volume,sp500,gold_price,nlp_compound,nlp_subjectivity,nlp_polarity
9/19/2022,19418.57142,19639.47973,18390.31871,19544.12925,40177002624,3.74E+11,21,1.253221254,3.20E+13,229154215.6,15916507.71,631537,16,3899.889893,1672.6,-0.2026375,0.294128788,-0.087405303
9/18/2022,20127.23395,20127.23395,19387.49135,19419.50619,31254779144,3.72E+11,27,0.945075825,3.20E+13,234365379.4,19614731.43,556563,12,,,0.15255,0.305634921,-0.134940476
9/17/2022,19777.03403,20162.53202,19777.03403,20127.57666,24957448100,3.86E+11,22,1.038760312,3.20E+13,230215892.8,22046267.35,641808,12,,,0,0,0
9/16/2022,19704.00544,19870.62977,19400.07545,19772.58421,30123362273,3.79E+11,20,1.286414219,3.20E+13,233424481.8,16155813.97,706574,14,3873.330078,1677.9,-0.093475,0.294166667,-0.1075
9/15/2022,20242.28991,20318.16639,19636.73377,19701.20996,36389011503,3.77E+11,28,1.239618272,3.20E+13,227909608.2,18722547.16,700513,14,3901.350098,1671.4,0.383911111,0.457914777,0.168718048
9/14/2022,20184.55533,20467.20143,19793.39672,20241.0898,37872380889,3.88E+11,27,1.470922417,3.20E+13,231125783.8,16390122.37,687667,14,3946.01001,1703.2,0.185385714,0.48102381,0.11621645
9/13/2022,22371.48064,22673.81977,20062.6707,20296.70781,51091116622,3.89E+11,34,1.280894942,3.11E+13,232081551.9,18880378.14,663498,15,3932.689941,1712,0.095675,0.433928571,0.024962798
9/12/2022,21770.14813,22439.18101,21603.89578,22370.44865,50212088965,4.28E+11,25,1.222385614,3.10E+13,232081551.9,21457966.19,665425,14,4110.410156,1735.6,0.328266667,0.246130952,0.051025132
9/11/2022,21678.54357,21770.55319,21406.94464,21769.25634,34493951963,4.17E+11,26,0.876390956,3.10E+13,228781814.2,25190836.06,607174,13,,,0.110542857,0.426948052,0.039914773
9/10/2022,21376.91171,21760.27577,21168.72172,21680.53941,36913738894,4.15E+11,28,1.051505777,3.10E+13,226581989,21254611.33,646199,12,,,0.5871,0.298043831,0.124945887
9/9/2022,19328.13993,21439.40932,19310.96258,21381.15286,48469528171,4.09E+11,22,1.377290925,3.10E+13,222622303.8,19406879.31,753468,15,4067.360107,1723.6,0.141628571,0.303030303,0.133766234
9/8/2022,19289.94057,19417.35159,19076.71452,19329.83493,32194477850,3.70E+11,20,1.380804213,3.10E+13,225042111.4,15580902.15,685564,13,4006.179932,1715.3,0.25156,0.454,0.1545
9/7/2022,18837.68332,19427.17267,18644.46723,19290.32387,35239757134,3.69E+11,24,1.281344527,3.10E+13,224333620,17522524.68,676262,15,3979.870117,1722.8,0.571466667,0.466666667,0.433333333
9/6/2022,19817.72407,20155.26872,18800.17166,18837.66771,43403978910,3.61E+11,22,1.258158725,3.10E+13,225712859.4,17711313.57,657784,13,3908.189941,1707.9,0.287075,0.395464015,0.271003788
9/5/2022,19988.78982,20031.16025,19673.04734,19812.37148,28813460025,3.79E+11,23,1.166262183,3.10E+13,223665601.2,19217857.63,628765,13,,1724.8,0.277181818,0.382870425,0.174519874
9/4/2022,19832.4713,19999.68965,19636.81657,19986.71384,25245861652,3.83E+11,20,0.861416268,3.10E+13,219123957.3,21001414.01,541540,11,,1718.65,0.2588,0.360416667,0.116071429
9/3/2022,19969.71835,20037.01065,19698.35519,19832.08773,23613051457,3.80E+11,21,1.193150558,3.10E+13,215980538.1,18503841.81,641511,12,,,0.180264286,0.342429654,0.117632576
9/2/2022,20126.07278,20401.56763,19814.76605,19969.77118,29123998928,3.82E+11,25,1.407585589,3.10E+13,223038282.2,16573004.97,710783,13,3924.26001,1717.7,0.07638125,0.320762311,0.082410038
9/1/2022,20050.49867,20198.3912,19653.96846,20127.14027,30182031010,3.85E+11,20,1.268659522,3.10E+13,224693437.7,17519322.33,685449,13,3966.850098,1704.4,0,0.231060606,0.029040404
8/31/2022,19799.58132,20420.99042,19799.58132,20049.76319,33225232872,3.84E+11,23,1.212705562,3.03E+13,222679830.5,18973801.68,652024,13,3955,1721.4,0.45738,0.450059524,0.133809524
8/30/2022,20298.61208,20542.64497,19617.64095,19796.8094,34483360283,3.79E+11,27,1.118923278,2.84E+13,224693210.5,20898311.57,660170,14,3986.159912,1731.6,-0.32815,0.389814815,-0.027525253
8/29/2022,19615.15336,20357.46323,19600.78503,20297.99464,32637854078,3.88E+11,24,1.140683745,2.84E+13,222277154.5,19815545.49,641513,16,4030.610107,1740.5,0.15715,0.313825758,0.003314394
8/28/2022,20041.0348,20139.05423,19616.81498,19616.81498,24366810591,3.75E+11,28,0.878384944,2.84E+13,219257084.4,20531551.54,547812,13,,,-0.160333333,0.202777778,0.004166667
8/27/2022,20262.48031,20340.77456,19890.52333,20041.73845,30116729776,3.83E+11,28,1.072243786,2.84E+13,220062436.4,18417353.54,605125,14,,,-0.014533333,0.326466049,-0.083691954
8/26/2022,21596.08531,21804.90801,20199.48338,20260.01865,42326789564,3.88E+11,27,1.001132659,2.84E+13,220465112.4,23607458.78,686060,13,4057.659912,1740.6,0.164588889,0.435582011,0.272178131
8/25/2022,21395.45839,21789.63684,21362.44126,21600.90514,31028679593,4.13E+11,25,1.094529654,2.84E+13,217367138.1,21711435.86,656808,12,4199.120117,1761.8,0.0683,0.381493506,0.212662338
8/24/2022,21526.45559,21783.07572,21195.00669,21395.02007,31962253368,4.09E+11,25,1.156057199,2.84E+13,213782300.8,19789812.78,649399,13,4140.77002,1752,-0.143333333,0.322222222,0.15
8/23/2022,21401.04567,21646.20376,20955.13816,21528.08737,31878280659,4.12E+11,28,1.053092134,2.84E+13,208764223.6,23241671.1,641154,14,4128.72998,1751.5,-0.116711111,0.276868887,0.05746653
8/22/2022,21531.46385,21531.46385,20939.18417,21398.90835,31666498758,4.09E+11,29,1.125842738,2.84E+13,208582028,20049502.86,629040,15,4137.990234,1738.6,0.2836,0.236961451,0.140009792
8/21/2022,21160.39278,21668.84591,21103.19681,21534.12123,23102307723,4.12E+11,27,0.945787137,2.84E+13,205797516.7,19658711.45,549247,13,,,-0.020583333,0.250715488,-0.034322391
8/20/2022,20872.84217,21350.8063,20856.73134,21166.0604,27595671000,4.05E+11,29,1.011525497,2.84E+13,203609480.2,19906048.08,597278,14,,,0.187441667,0.309861111,0.225
8/19/2022,23213.31324,23213.31324,20868.84744,20877.55369,40509610260,3.99E+11,33,1.080193854,2.84E+13,198583863.9,24646037.77,736405,17,4228.47998,1753,-0.016272727,0.447662228,-0.024005204
8/18/2022,23341.03898,23563.83159,23177.60247,23212.73908,23747613147,4.44E+11,30,1.401119722,2.83E+13,197680503.2,21426691.81,685923,13,4283.740234,1761.1,0.37836,0.416666667,0.134924242
8/17/2022,23881.31551,24407.05791,23243.35446,23335.99822,30931623076,4.46E+11,41,1.330205566,2.82E+13,201482051.4,19823143.47,648642,14,4274.040039,1766.5,0.045275,0.675,-0.04375
8/16/2022,24126.13648,24228.41561,23733.49933,23883.29055,27753685646,4.57E+11,44,1.310104439,2.82E+13,200481644,22451185.12,677726,13,4305.200195,1779.4,0.12315,0.3875,0.3375
8/15/2022,24318.31548,25135.5904,23839.77498,24136.97242,35123501685,4.62E+11,45,1.185214379,2.82E+13,200281562.5,22246761.58,620533,14,4297.140137,1787.9,-0.077916667,0.609461806,-0.040440538
8/14/2022,24429.05744,24974.91421,24206.25977,24319.33392,22994133555,4.65E+11,47,1.122552015,2.82E+13,205483681,20561929.59,551189,13,,,0.6265,0.475,0.266666667
8/13/2022,24402.18747,24860.05036,24346.11471,24424.06783,22987346289,4.67E+11,46,1.083895302,2.82E+13,209885473.6,21597981.29,613804,13,,,0.243925,0.385491071,-0.075
8/12/2022,23957.20306,24412.56611,23657.2653,24402.81851,27265804688,4.67E+11,42,1.187840279,2.82E+13,209085147.6,23487535.55,703328,14,4280.149902,1805.2,0.327,0.408571429,-0.017142857
8/11/2022,23948.34613,24822.62968,23900.99687,23957.53019,37127036580,4.58E+11,41,1.358893629,2.82E+13,207241418.7,21798985.53,725127,15,4207.27002,1796.8,0.0612125,0.363839286,0.206287202
8/10/2022,23162.89885,24127.41442,22771.52047,23947.64343,32837431722,4.58E+11,31,1.360227568,2.82E+13,206144749.2,22048657.03,663480,15,4210.240234,1803.3,0.257090909,0.33638468,0.143181818
8/9/2022,23811.48352,23898.61537,22981.99993,23164.31799,23555719219,4.43E+11,42,1.271388741,2.82E+13,208015065.7,21500771.45,646055,14,4122.470215,1801.5,0.348106667,0.422222222,0.211333333
8/8/2022,23179.52705,24203.68887,23176.54725,23809.48711,28575544847,4.55E+11,30,1.1516775,2.82E+13,205948801.4,22072627.09,652517,15,4140.060059,1794.3,0.088677778,0.422486772,0.053042328
8/7/2022,22963.50624,23359.00908,22894.55624,23175.89085,15886817043,4.43E+11,30,0.825161308,2.82E+13,204027840.7,23450786.35,522072,13,,,-0.01748,0.229444444,-0.059027778
8/6/2022,23291.42406,23326.56162,22961.27897,22961.27897,15978259885,4.39E+11,31,1.013497696,2.82E+13,197183586.2,23640706.63,610889,13,,,0.370407692,0.260604442,0.03385804
8/5/2022,22626.83339,23422.8277,22612.17851,23289.31428,28881249043,4.45E+11,31,1.156854607,2.82E+13,195883411.6,22040552.56,687443,14,4145.189941,1780.5,0.2772,0.444583333,0.1075
8/4/2022,22848.21438,23198.01011,22485.70066,22630.95673,25120229769,4.33E+11,30,1.341702008,2.79E+13,197444491.4,19247521.08,695558,14,4151.939941,1796.2,0.3065875,0.2252886,0.011857413
8/3/2022,22981.30271,23578.65044,22747.83644,22846.50706,26288169966,4.37E+11,34,1.292170531,2.77E+13,201377648.6,21334680.7,693063,15,4155.169922,1766.1,0.365383333,0.500831229,0.266582492
8/2/2022,23308.43417,23415.04133,22710.08398,22978.11659,28389250717,4.39E+11,31,1.146315819,2.77E+13,202360937.9,22887535.79,663588,16,4091.189941,1779.7,0.05323,0.44577381,0.174285714
8/1/2022,23336.71805,23464.78628,22890.79602,23314.19943,25849159141,4.46E+11,33,1.287020713,2.77E+13,203540885.1,20057094.22,635502,16,4118.629883,1777.6,0.192454545,0.452525253,0.212604618
7/31/2022,23652.06966,24121.64258,23275.7025,23336.8956,23553591896,4.46E+11,39,0.922711079,2.77E+13,204524174.4,22797365.36,561055,15,,,0.5106,0.411111111,0.18989899
7/30/2022,23796.81861,24572.57942,23580.50848,23656.20703,28148218301,4.52E+11,42,1.139579744,2.77E+13,209440620.9,19669633.43,601643,15,,,-0.062566667,0.483191138,0.102681878
7/29/2022,23845.21237,24294.78646,23481.17314,23804.63323,35887249746,4.55E+11,39,1.240760945,2.77E+13,206687410.9,22164587.54,708268,17,4130.290039,1771.5,0.355433333,0.377301587,0.058412698
7/28/2022,22933.64125,24110.46992,22722.26512,23843.88621,40212386158,4.56E+11,32,1.348517468,2.77E+13,207414031.5,21195787.99,697022,17,4072.429932,1759,-0.0031,0.328268398,0.042337662
